;;;;;https://www.wildberries.ru/seller/32220?sort=popular&page=1&fbrand=19794;;;;;;;;;;;;;
;;;;;https://www.wildberries.ru/seller/koreanbutik;;;;;;;;;;;;;
"Product List
MYUNGIN COSMETICS CO., LTD.";;;;;;;;;;;;;;;;;;
NO.;Image;SKU No.;"SKU No.
(NEW)";Product Name (KOR);Product Name (ENG);TYPE;Volume;"MOQ QTY
(PCS/CT)";CT WEIGHT(kg);CT SIZE(cm); MSRP ;"SUPPLY PRICE
(-VAT)";UPDATED BARCODES;HS코드;REMARKS;;;
84;;SST010;5C0641;팜스테이 핑크플라워 핸드크림 2종;FARMSTAY PINK FLOWER BLOOMING HAND CREAM 2SET(WATER LILY, PINK ROSE);SET;"100g
each";80;19,8;44*37*33; ₩10 000 ; ₩1 530 ;8809338560192 ;3304.99.1000;;;;
85;;SHD009;5C0426;팜스테이 핑크플라워 블루밍 핸드크림 체리블러썸;FARMSTAY PINK FLOWER BLOOMING HAND CREAM CHERRY BLOSSOM;HAND;100ml;200;26;50.5*45.5*34; ₩5 000 ; ₩780 ;8809338560123 ;3304.99.1000;;;;
86;;SHD010;5C0427;팜스테이 핑크플라워 블루밍 핸드크림 핑크로터스;FARMSTAY PINK FLOWER BLOOMING HAND CREAM PINK LOTES;HAND;100ml;200;26;50.5*45.5*34; ₩5 000 ; ₩780 ;8809338560147 ;3304.99.1000;;;;
87;;SHD011;5C0428;팜스테이 핑크플라워 블루밍 핸드크림 핑크로즈;FARMSTAY PINK FLOWER BLOOMING HAND CREAM PINK ROSE;HAND;100ml;200;26;50.5*45.5*34; ₩5 000 ; ₩780 ;8809338560154 ;3304.99.1000;;;;
88;;SHD012;5C0429;팜스테이 핑크플라워 블루밍 핸드크림 워터릴리;FARMSTAY PINK FLOWER BLOOMING HAND CREAM WATER LILY;HAND;100ml;200;26;50.5*45.5*34; ₩5 000 ; ₩780 ;8809338560130 ;3304.99.1000;;;;
89;;CLF012;5C0040;팜스테이 오투 프리미엄 아쿠아 클렌징폼;FARMSTAY O2 PREMIUM AQUA FOAM CLEANSING;CLEANSING ;100ml;200;25;50.5*45*34; ₩3 000 ; ₩1 140 ;8809469775120 ;3401.30.0000;86 шт ;;;
90;;CLF013;5C0041;팜스테이 그린티씨드 모이스쳐 클렌징폼;FARMSTAY GREEN TEA SEED PREMIUM MOISTURE FOAM CLEANSING;CLEANSING ;100ml;200;25;50.5*45*34; ₩3 000 ; ₩1 140 ;8809469775137 ;3401.30.0000;;;;
91;;SPL004;5C0581;팜스테이 콜라겐 워터 풀 모이스트 필링젤;FARMSTAY COLLAGEN WATER FULL MOIST PEELING GEL;PEELING;180ml;100;23,5;54*33*40; ₩18 000 ; ₩2 640 ;8809809801786 ;3304.99.1000;;;;
92;;SFT001;5C0418;팜스테이 레몬 인텐시브 모이스쳐 풋크림;FARMSTAY LEMON INTENSIVE MOISTURE FOOT CREAM;FOOT;100ml;200;25;50.5*45*34; ₩3 000 ; ₩830 ;8809338560109 ;3304.99.1000;;;;
93;;SPA004;5C0570;팜스테이 콜라겐 워터 풀 하이드로겔 아이패치;FARMSTAY COLLAGEN WATER FULL HYDROGEL EYE PATCH;PATCH;90g;100;19,5;45*45*20.5; ₩25 000 ; ₩5 920 ;8809460461053 ;3304.99.1000;;;;
94;;SSE001;5C0609;팜스테이 콜라겐 워터 풀 모이스트 세럼;FARMSTAY COLLAGEN WATER FULL MOIST SERUM;SERUM;250ml;50;18;52*29.5*23; ₩25 000 ; ₩4 460 ;8809480770876 ;3304.99.1000;;;;
95;;SEC006;5C0350;팜스테이 콜라겐 워터 풀 모이스트 아이크림;FARMSTAY COLLAGEN WATER FULL MOIST EYE CREAM;EYE CREAM;50ml;100;9,8;27*20.5*35; ₩20 000 ; ₩3 810 ;8809469775434 ;3304.99.1000;;;;
96;;CLF018;5C0043;팜스테이 콜라겐 워터풀 모이스트 딥 클렌징폼;FARMSTAY COLLAGEN WATER FULL MOIST DEEP CLEANSING FOAM;CLEANSING ;180ml;100;24;54*33*40; ₩15 000 ; ₩2 640 ;8809480770968 ;3401.30.0000;;;;
