Артикул	Название	СЦ Иркутск	СЦ Хабаровск	Невинномысск	Итого
210575566	Увлажняющий крем для кожи вокруг глаз	4	0	0	4
207818642	Увлажняющий крем для кожи вокруг глаз	4	0	0	4
608837066	Шампунь для волос женский c черным чесноком	3	0	1	4
551472457	Сыворотка для лица с экстрактом нони	0	3	0	3
180711104	Гидрогелевые патчи для глаз с золотом	3	0	0	3
179611231	Гидрогелевые патчи для глаз Корея от отеков	3	0	0	3
180987509	Тканевые патчи под глаза от темных кругов	0	3	0	3
1175175447	Гидрогелевые маски для лица набор увлажняющие корейские 6 шт	3	0	0	3
179611304	Тонизирующие патчи для глаз гидрогелевые с какао	1	1	0	2
437850261	Гидрофильное масло для лица для умывания Корея	1	0	1	2
206058262	Увлажняющая сыворотка для лица Корея	1	1	0	2
180711041	Антивозрастные гидрогелевые патчи с золотом и EGF	1	1	0	2
611744611	Консилер для лица плотный 02, корректор светлый	1	1	0	2
551447345	Отбеливающий крем для выравнивания тона и микрорельефа	1	1	0	2
205054338	Укрепляющий тоник для лица с бифидобактериями	0	0	1	1
248929125	Крем для лица от прыщей для проблемной кожи	1	0	0	1
551392965	Крем для восстановления барьера лица	0	1	0	1
1123574113	Тонер с морской водой Dokdo Toner 1025, 200 мл	1	0	0	1
248928046	Корейское мыло для лица от прыщей	1	0	0	1
207464799	Гидрофильное масло бальзам для лица очищающее	1	0	0	1
236825103	Трехшаговый набор тканевых масок для лица 10 шт.	1	0	0	1
214312149	Увлажняющая ночная маска для сухой кожи	0	1	0	1
238358009	Солнцезащитный крем СПФ 50 для лица и тела	0	0	1	1
238359400	Солнцезащитный крем СПФ 50 для лица и тела	0	1	0	1
1177994945	Гидрогелевые маски для лица набор увлажняющие корейские 7 шт	0	0	1	1
1152680017	Крем-бустер для лица с ретинолом и микроиглами от морщин	1	0	0	1
