Тип	Контейнер	Отправка	Приход	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	198156698	Manyo_Pure_Cleansing_Oil	437	372761	92.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	198156698	Manyo_Pure_Cleansing_Oil	437	372761	92.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	198156698	Manyo_Pure_Cleansing_Oil	437	372761	92.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	198156698	Manyo_Pure_Cleansing_Oil	437	372761	92.5
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	206057411	ELIZAVECCA_fruit_toner	433	142106	40.7
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	206057411	ELIZAVECCA_fruit_toner	433	142106	40.7
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	206057411	ELIZAVECCA_fruit_toner	433	142106	40.7
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	206057411	ELIZAVECCA_fruit_toner	433	142106	40.7
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	432	179478	39.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	432	179478	39.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	432	179478	39.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	432	179478	39.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	212889025	Enoughcollagenwhiteningcovertip01	428	78426	45.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	212889025	Enoughcollagenwhiteningcovertip01	428	78426	45.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	212889025	Enoughcollagenwhiteningcovertip01	428	78426	45.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	212889025	Enoughcollagenwhiteningcovertip01	428	78426	45.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	415	319749	50.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	415	319749	50.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	415	319749	50.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	415	319749	50.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	404	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	404	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	404	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	404	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	395	287105	71.7
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	395	287105	71.7
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	395	287105	71.7
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	395	287105	71.7
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	395	104817	55.2
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	395	104817	55.2
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	395	104817	55.2
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	395	104817	55.2
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	393	111360	-62.2
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	393	111360	-62.2
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	393	111360	-62.2
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	393	111360	-62.2
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	373	70597	66.4
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	373	70597	66.4
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	373	70597	66.4
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	373	70597	66.4
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	371	117031	35.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	371	117031	35.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	371	117031	35.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	371	117031	35.5
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	150925322	Collagen_Enough_Moisture_Foundation_21	366	88894	-69.7
