Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	151132051	ENOUGH COLLAGEN 3IN1 13	78.0	1292.0	15.0	0.2	1277.0	238.13	304092.0	87.46	208.26
1_СРОЧНО	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	90.0	1490.0	0.0	0.0	1490.0	189.27	282012.0	66.43	125.73
1_СРОЧНО	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	34.0	563.0	17.0	0.5	546.0	512.18	279650.0	57.64	295.21
1_СРОЧНО	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	39.3	651.0	14.0	0.4	637.0	415.46	264648.0	50.79	210.99
1_СРОЧНО	180711104	Petitfee GOLD	37.7	624.0	14.0	0.4	610.0	415.46	253431.0	74.74	310.5
1_СРОЧНО	204258828	COSRX_Salicylic_Acid_Cleanser	44.3	734.0	18.0	0.4	716.0	343.82	246175.0	21.01	72.24
1_СРОЧНО	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	21.7	359.0	22.0	1.0	337.0	722.04	243327.0	-18.38	-132.68
1_СРОЧНО	212889027	Enoughcollagenwhiteningcovertip	80.3	1330.0	12.0	0.1	1318.0	183.24	241510.0	75.95	139.17
1_СРОЧНО	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	38.7	640.0	14.0	0.4	626.0	385.05	241041.0	73.76	284.01
1_СРОЧНО	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	29.0	480.0	0.0	0.0	480.0	498.54	239299.0	54.04	269.42
1_СРОЧНО	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	22.3	370.0	11.0	0.5	359.0	594.61	213465.0	94.14	559.74
1_СРОЧНО	199427475	Dr.Jart_Teatreatment_Toner	22.0	364.0	30.0	1.4	334.0	637.89	213055.0	-193.32	-1233.15
1_СРОЧНО	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	42.7	707.0	20.0	0.5	687.0	292.89	201215.0	50.17	146.95
1_СРОЧНО	208202076	EKEL Ampule Сream Сollagen [70ml]	83.3	1380.0	17.0	0.2	1363.0	142.13	193723.0	97.13	138.05
1_СРОЧНО	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	20.0	331.0	6.0	0.3	325.0	591.29	192169.0	64.18	379.49
1_СРОЧНО	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	24.0	397.0	0.0	0.0	397.0	478.05	189786.0	47.77	228.36
1_СРОЧНО	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	42.3	701.0	12.0	0.3	689.0	265.36	182833.0	49.87	132.34
1_СРОЧНО	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	14.3	237.0	6.0	0.4	231.0	765.0	176715.0	41.41	316.79
1_СРОЧНО	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	38.7	640.0	10.0	0.3	630.0	269.87	170018.0	127.43	343.88
1_СРОЧНО	212889028	Enoughcollagenwhiteningcovertip03	54.0	894.0	10.0	0.2	884.0	183.24	161984.0	-110.07	-201.7
1_СРОЧНО	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	30.3	502.0	10.0	0.3	492.0	314.85	154906.0	82.05	258.32
1_СРОЧНО	180987509	Petitfee Pink Vita Brightening Eye Mask	18.7	309.0	0.0	0.0	309.0	486.69	150387.0	68.96	335.61
1_СРОЧНО	611747838	Collagen_Enough_Moisture_Foundation_23	33.7	558.0	0.0	0.0	558.0	242.88	135527.0	85.02	206.49
1_СРОЧНО	212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	36.0	596.0	43.0	1.2	553.0	231.73	128147.0	92.05	213.31
1_СРОЧНО	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	53.0	878.0	32.0	0.6	846.0	151.13	127856.0	136.8	206.75
1_СРОЧНО	151132052	ENOUGH COLLAGEN 3IN1 21	34.7	574.0	21.0	0.6	553.0	223.35	123513.0	92.13	205.78
1_СРОЧНО	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	20.0	331.0	39.0	2.0	292.0	415.46	121314.0	70.08	291.14
1_СРОЧНО	183030830	HairSet/350/8*2	10.0	166.0	0.0	0.0	166.0	669.05	111062.0	19.63	131.36
1_СРОЧНО	207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	43.0	712.0	48.0	1.1	664.0	161.47	107216.0	85.54	138.12
