Артикул_ВБ	Название	Штрафы_руб	Штраф_Габариты	Штраф_ПовышЛог	Другие_штрафы	Доплаты	Брак_шт	Брак_руб	Компенсация
214964091	JMSOLUTION - Mask Pack Disney	50.00	0.00	0.00	50.00	0.00	0	0.00	1736.59
214977901	JMSOLUTION - Mask Pack Black	1069.00	0.00	0.00	1069.00	0.00	0	0.00	5044.64
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	0.00	0.00	0.00	0.00	0.00	0	0.00	964.80
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	30.00	0.00	0.00	30.00	0.00	0	0.00	5199.26
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	0.00	0.00	0.00	0.00	0.00	0	0.00	1899.65
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	0.00	0.00	0.00	0.00	0.00	0	0.00	1117.20
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	0.00	0.00	0.00	0.00	0.00	0	0.00	1930.02
226322576	ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch	50.00	0.00	0.00	50.00	0.00	0	0.00	427.69
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	4836.00	0.00	0.00	4836.00	0.00	0	0.00	1563.56
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	0.00	0.00	0.00	0.00	0.00	0	0.00	1111.37
238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	380.00	0.00	0.00	380.00	0.00	0	0.00	365.07
238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	230.00	0.00	0.00	230.00	0.00	0	0.00	0.00
238360127	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml] N	30.00	0.00	0.00	30.00	0.00	0	0.00	1348.69
238360924	FARMSTAY - Aloevera Perfect Sun Cream [70g] N	800.00	0.00	0.00	800.00	0.00	0	0.00	-396.27
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	0.00	0.00	0.00	0.00	0.00	0	0.00	1303.26
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	646.00	0.00	0.00	646.00	0.00	0	0.00	7597.16
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	0.00	0.00	0.00	0.00	0.00	0	0.00	2256.53
240311751	Робот мойщик окон sBot w250	20.00	0.00	0.00	20.00	0.00	0	0.00	0.00
240577928	Робот мойщик окон sBot w120	0.00	0.00	0.00	0.00	0.00	0	0.00	5248.30
246066231	Фен_для_волос_маленький	0.00	0.00	0.00	0.00	0.00	0	0.00	516.48
247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	3190.66
248922407	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Serum [50ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	5514.32
248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	400.00	0.00	0.00	400.00	0.00	0	0.00	0.00
248928555	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g]	0.00	0.00	0.00	0.00	0.00	0	0.00	17936.17
248930918	SOME BY MI - Clear Spot Patch [18pcs]	0.00	0.00	0.00	0.00	0.00	0	0.00	399.00
255574453	JIGOTT - MASK 15	10.00	0.00	0.00	10.00	0.00	0	0.00	595.21
271921107	GAMEstick641	20.00	0.00	0.00	20.00	0.00	0	0.00	2308.30
290714563	X7 plus	20.00	0.00	0.00	20.00	0.00	0	0.00	0.00
307071318	Elizavecca Milky Piggy Carbonated Bubble Clay Mask N	0.00	0.00	0.00	0.00	0.00	0	0.00	367.07
333259566	JMSOLUTION - Mask Pack Black [8pcs]	809.00	729.00	0.00	80.00	0.00	0	0.00	2234.01
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	20.00	0.00	0.00	20.00	0.00	0	0.00	5142.37
333319980	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N3	0.00	0.00	0.00	0.00	0.00	0	0.00	1427.60
333321028	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash2	0.00	0.00	0.00	0.00	0.00	0	0.00	978.41
