Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	C	100	31		5	83.33	16.67
	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	SKIN1004 - Madagascar Centella Ampoule [30ml]	C	86	13		6	100	
	180711041	Petitfee EGF	Petitfee EGF	C	100			5	100	
	248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	C	86	31		4	100	
	248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	C	92	19		4	100	
	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	ROUND LAB SOYBEAN CLEANSING OIL_200ml	C	67	25		4	100	
	611744611	ENOUGH Collagen whitening cover tip concealer #02	ENOUGH Collagen whitening cover tip concealer #02	C	100			4	100	
	100680843	sBotW120_100680843	sBotW120_100680843	B	100			2	66.67	33.33
	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	C	100	22		2	66.67	33.33
	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	C	100	69		3	100	
	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	C	75	35		3	100	
	174668134	Пистолет перкуссионный V1	Пистолет перкуссионный V1	C	80	50		2	100	
	180852804	Скалер белый v1	Скалер белый v1	C	67	41		2	100	
	183030830	HairSet/350/8*2	HairSet/350/8*2	C	100			2	100	
	190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	Elizavecca Milky Piggy EGF elastic retinol [100ml]	C	75	14		2	100	
	198620596	Lamp_white_26cm	Lamp_white_26cm	C	71	1		1	50	50
	206058262	ELIZAVECCA_galactomyces_Ample	ELIZAVECCA_galactomyces_Ample	C	100	30		2	100	
	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	C	100			2	100	
	214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	C	90	42		2	100	
	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	A	67			2	100	
	247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	C	100	20		2	100	
	340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	C	100	20		2	100	
	551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	C	80	1				100
	48906308	dm7dm3	dm7dm3	C	100			1	100	
	154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%	Elizavecca Hell-Pore Control Hyaluronic Acid 97%	C				1	100	
	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	C	100					100
	180852837	Триммер черный v1	Триммер черный v1	C	100	10		1	100	
	207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	C	100	6		1	100	
	236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	C	100	15		1	100	
	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	B	100			1	100	
	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	C	100	58		1	100	
	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	C	100	20		1	100	
	555204573	dm7dm3-45	dm7dm3-45	C	100			1	100	
	212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	ISNTREE - Onion Newpair Gel Cream [50ml]	C	100	38				
	315688951	Триммер Золото	Триммер Золото	C	100	2				
	611745490	ENOUGH Collagen whitening cover tip concealer #03	ENOUGH Collagen whitening cover tip concealer #03	C	100	13				
