Артикул_ВБ	Название	Остаток_шт	Выкуп_ФинОтчет_%	Выкуп_API_%	Выкуп_ЛК_%	Выкуп_АВТО_%	Возврат_ФинОтчет_%	Возврат_API_%	Возврат_АВТО_%	Продаж_ФинОтчет	Возвратов_ФинОтчет	Заказов_API	Продаж_API
59758723	NAUSHNIK/DETY/MENTOL/		85.86	100	100	85.86							
59758724	NAUSHNIK/DETY/SIREN/		82.14	100	100	82.14							
78053293	ushi2		100	100	100	100							
78454688	i12		100	100	100	100							
78454766	pro4white		100	100	100	100							
78454814	pro4black		100	100	100	100							
78836747	i100		100	100	100	100							
78838371	PRO		100	100	100	100							
92315114	reger		100	100	100	100							
93302814	hocopro2		100	100	100	100							
100680844	sBotW100_100680844		83.33	88.50	86.20	83.33		0.38					
102247602	hot /1.5х1.5/		70.11	100	100	70.11	10.29		10.29				
102254770	hot /2х2/		86.05	100	100	86.05	0.27		0.27				
102255837	hot /3х2/		82.74	100	100	82.74	0.50		0.50				
102256288	hot /3х3/		77.81	100	100	77.81	0.85		0.85				
102258119	white /1.5х1.5/		70.97	100	100	70.97							
102258255	white /2х2/		80.71	100	100	80.71							
102258636	white /3х2/		89.30	100	100	89.30	0.87		0.87				
102259020	white /3х3/		82.19	100	100	82.19	0.69		0.69				
102261589	multi /1.5х1.5/		100	100	100	100							
102263707	multi /2х2/		100	100	100	100							
102264249	multi  /3х2/		73.33	100	100	73.33	4.35		4.35				
102264744	multi  /3х3/		68.32	100	100	68.32	0.91		0.91				
103426811	dm7dm8		100	100	100	100							
103431810	dm7dm10		78.99	100	100	78.99	0.74	1.69	0.74				
103442628	dm7dm14		100	100	100	100							
103442939	dm7dm15		100	100	100	100							
105911397	i100_v2		100	100	100	100							
122223609	P36_122223609_122223609		100	100	100	100							
133070643	СГ3Б		100	100	100	100							
133070645	СГ2Б		100	100	100	100							
133070646	СГ2С		100	100	100	100							
133070647	СГ3К		100	100	100	100							
133070648	СГ1С		100	100	100	100							
133070650	СГ1Б		100	100	100	100							
133070651	СГ1К		100	100	100	100							
133070652	СГ2Г		100	100	100	100							
133070653	СГ2Р		100	100	100	100							
133727440	green50m		100	100	100	100							
133728704	white50m		100	100	100	100							
133728705	yellow50m		100	100	100	100							
133728706	multi50m		100	100	100	100							
133728707	blue50m		100	100	100	100							
143830812	10KN95blue		100	100	100	100							
143830813	10KN95black		100	100	100	100							
143830814	10KN95pink		100	100	100	100							
143830815	10KN95-gray		100	100	100	100							
144518874	Маски100шт		100	100	100	100							
147602778	GAMEstick64		100	100	100	100							
147612298	KSFTupSocket		100	100	100	100							
151298064	Elizavecca Witch Piggy Hell Pore Blemish Spot Patch		94.24	100	100	94.24							
152115510	sBotW200		63.64	91.23	90.91	63.64	14.29	0.54	14.29				
152498365	KSFTsitSocket		87.14	100	100	87.14	1.41		1.41				
154158805	Enough Collagen Moisture Essential Cream		100	100	100	100							
154160462	Elizavecca Milky Piggy Carbonated Bubble Clay Mask		100	100	100	100							
154517887	Планшет для рисования 8,5 случайный цвет		100	100	100	100							
154519501	Планшет для рисования 10 случайный цвет		100	100	100	100							
154519502	Планшет для рисования 12 случайный цвет		100	100	100	100							
154521750	Камера детская розовая		100	100	100	100							
154521751	Камера детская Голубая		100	100	100	100							
154522116	Микрофон-колонка розовый		75	100	100	75	3.70		3.70				
154522117	Микрофон-колонка голубой		100	100	100	100							
154989140	Салфетки для робота мойщика окон 12шт		100	100	100	100							
164999335	Moisture Sun Cream Enough Collagen spf 50 +		100	100	100	100							
165007944	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml]		95.16	100	100	95.16							
165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]		87.20	91.45	93.04	87.20	0.21	0.93	0.21				
165008162	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml]		91.05	94.12	92.65	91.05							
165008990	FARMSTAY OIL-FREE UV DEFENCE SUN CREAM 70ml		91.65	100	100	91.65							
165009038	FARMSTAY ALOEVERA PERFECT SUN CREAM 70g		89.11	100	100	89.11							
165299450	Masil 8 Seconds Salon Hair Mask Stick Pouch 8 ml 5шт		92.54	100	100	92.54							
165299669	8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт		94.62	100	100	94.62							
165299885	8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт		95.08	100	100	95.08							
165308892	Masil 8 Seconds Salon Hair Mask Stick Pouch 200 ml		100	100	100	100							
