Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
207483780	JIGOTT - Birds Nest Firming Cream [70ml]	89	26.17	493	202.27	32.50	99		3.33	0.29	2.44	70755		296.37	22995.38	3280.52	2870.46	66.32	134.14	29.90	16.87
180852804	Скалер белый v1	88	121	1393	971.52	25.50	67		4.26	1.38	2.44	158400		374.88	40392	9165.16	8019.51	0.59	5.77	0.49	0.32
212757456	JIGOTT - Daily Real Cica Toner [300ml]	87	81.00	641	265.36	32.50	93	179.57	3.18	0.93	2.44	91350		276.66	29688.75	4169.50	3648.31	12.95	34.36	5.67	3.27
551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	86	15.14	311	96.94	32.50	95		3	0.18	2.44	43860		258	14254.50	1999.70	1749.74	141.68	137.35	51.22	26.93
180988755	Petitfee B-Glucan Deep Firming Eye Mask	85	61.71	1070	486.69	32.50	97		3.45	0.73	2.44	129795		293.25	42183.38	6800	5950	59.31	288.67	30.55	18.90
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	81	22.68	354	180.54	32.50	97		3.90	0.28	2.44	48600		315.90	15795	2143.85	1875.87	10.84	19.58	6.55	3.26
214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	80	499.20	1797	726.85	31	94	85.19	17.85	6.24	2.44	211120		1428	65447.20	10748.41	9404.86	71.71	521.22	32.80	19.75
176944957	sBotW300	79	1074.40	4257	3365.62	25.50	97	0.60	40.50	13.60	2.44	464520		3199.50	118452.60	25144.15	22001.13	6.95	233.88	5.67	3.98
611747838	Collagen_Enough_Moisture_Foundation_23	78	48.75	634	242.88	32.50	90		2.97	0.63	2.44	77220		231.66	25096.50	3697.35	3235.18	85.02	206.49	35.90	20.86
1152680017	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	78	14.04	1183	512.18	32.50	100	2139.27	2.40	0.18	2.44	148590		187.20	48291.75	6898.99	6036.62	-304.36	-1558.89	-128.59	-81.83
212889028	Enoughcollagenwhiteningcovertip03	76	35.57	754	183.24	32.50	86	518.70	2.91	0.47	2.44	80560		221.16	26182	4284.41	3748.86	-110.07	-201.70	-31.62	-19.03
236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	73	109.50	967	367.85	32.50	100		5.37	1.50	2.44	103733		392.01	33713.23	5277.83	4618.10	90.79	333.97	38.70	23.50
