Артикул_ВБ	Название	Остаток_API_шт	Объем_л	Остаток_цена_постав_руб	Остаток_себестоимость_руб	В_пути_к_клиенту_шт	В_пути_от_клиента_шт
1139168138	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] 2	144	58.32	198720			
1139184393	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] 2	144	58.32	219744			
1138638005	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g]	140	101.64	96600			
1139163403	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] 2	140	197.12	378000			
1126645805	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml] 2	138	51.75	281520			
1139152860	JMSOLUTION - MASK PACK BLACK [30ml*10ea]	132	188.10	184800			
1126874288	MANYO - Galac Whitening Vita Serum [50ml]	128	55.30	314880			
1126568337	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml] 2	123	22.14	232470		2	
1139170302	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] 2	120	87.12	183240			
1139014717	JIGOTT - Snail Reparing Cream [100ml] 2	117	108.93	87750		3	
1139203939	PETITFEE - Gold Hydrogel Eye Patch [60ea] 2	105	42.52	160230			
1139101006	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] 2	100	93.10	94500			
1139103032	JIGOTT - Moisture Real Aloe Vera Toner [300ml] 2	100	93.10	105000			
1139030037	JIGOTT - Birds Nest Firming Cream [70ml] 2	99	64.15	80190			
1139159459	MANYO - Bifida Biome Ampoule Lotion [300ml] 2	80	40	168000			
1138938827	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] 2	79	11.06	177750		1	
1139177864	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] 2	72	29.16	103680			
1139198643	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] 2	72	29.16	91584			
1139201157	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] 2	72	29.16	80424			
1139267477	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads] 2	72	64.80	133920			
1139196306	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] 2	71	28.75	83638			
1139205173	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] 2	60	51.84	84600			
1139212638	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] 2	60	51.84	85680			
1139217196	PETITFEE - Gold Hydrogel Mask Pack [5pcs] 2	60	51.84	88740			
1139220114	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] 2	60	51.84	82800			
1139241419	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] 2	60	51.84	90000			
1139273633	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads] 2	60	34.02	120600			
1139230773	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] 2	59	50.98	86730			
1139281487	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml] 2	20	3.74	10200			
535622289	dm7dm9						
213595533	THE SAEM - Saemmul Perfect Pore Pact [12g] 1						
220053713	Игровая приставка GAME STICK LITE						
