Артикул_ВБ	Название	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_%	Заказы_нелокально_%
1139263886	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml] 2	100	150		100	
1139245659	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml 2	100	148		100	
1126626550	ETUDE - Baking Powder Crunch Pore Scrub [200ml]	100	146		100	
1139168138	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] 2	100	144		100	
1139184393	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] 2	100	144		100	
1138638005	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g]	100	140		100	
1139163403	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] 2	100	140		100	
1126645805	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml] 2	100	138		100	
1139152860	JMSOLUTION - MASK PACK BLACK [30ml*10ea]	100	132		100	
1126874288	MANYO - Galac Whitening Vita Serum [50ml]	100	128		100	
1126568337	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml] 2	100	123		100	
1139170302	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] 2	100	120		100	
1139014717	JIGOTT - Snail Reparing Cream [100ml] 2	100	117		100	
1139203939	PETITFEE - Gold Hydrogel Eye Patch [60ea] 2	100	105		100	
1139101006	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] 2	100	100		100	
1139103032	JIGOTT - Moisture Real Aloe Vera Toner [300ml] 2	100	100		100	
1139030037	JIGOTT - Birds Nest Firming Cream [70ml] 2	100	99		100	
1139159459	MANYO - Bifida Biome Ampoule Lotion [300ml] 2	100	80		100	
1138938827	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] 2	100	79		100	
1139177864	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] 2	100	72		100	
1139198643	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] 2	100	72		100	
1139201157	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] 2	100	72		100	
