SKU	Наименование	Выручка, ₽	Заказано, шт	Доставлено, шт	Возвраты	Отмены	Показы	В корзину	Сессии с товаром	Конв. в корзину	Позиция в категории
5368881390	Сыворотка с микроиглами для лица VT Reedle Shot 100 VT Cosmetics, 50 мл	22950	6	6	0	0	3111	20	2420	0.82	162.42265193370164
5358217827	Отбеливающий крем для выравнивания тона и микрорельефа	22000	11	7	0	3	2778	42	1632	2.57	111.32060390763766
5280467313	FarmStay Сыворотка интенсивно увлажняющая ампульная для лица с коллагеном 3в1 Collagen & Hyaluronic Acid All-in-One Ampoule 250 мл	20880	8	5	0	3	2034	21	1124	1.86	36.26190476190476
5358217204	FarmStay Крем для лица антивозрастной увлажняющий с золотом и муцином улитки Gold Snail Premium Cream, 50 мл	18002	7	6	0	2	1761	21	1109	1.89	61.17689530685921
5499690151	Успокаивающие тонер пэды для лица с кислотами Celimax	17991	4	2	0	1	7827	43	6270	0.68	62.22299017824663
5357327174	Тональный крем для лица матирующий Collagen коллаген, тон 13	15456	11	9	0	1	11333	51	8340	0.61	71.97310804378867
5370098661	ETUDE HOUSE Скраб для лица женский с содой Baking Powder Crunch Pore Scrub, 200 мл	14818	10	8	0	0	7477	38	5767	0.65	72.47161966738973
5357391911	Корейский тональный крем с пептидами 21 тон	14192	7	2	0	0	1781	19	1276	1.48	120.27133757961784
5370852944	Корейская база под макияж с шиммером Heimish, 40 мл	11792	3	2	0	0	2967	17	2141	0.79	64.64502164502164
5358217994	FarmStay Крем для лица антивозрастной с муцином улитки Escargot Noblesse Intensive Cream, 50 г	10457	5	5	0	1	1288	24	856	2.8	82.26377952755905
5358217108	Увлажняющий крем для лица с берёзовым соком Корея	8000	4	1	0	1	3649	22	2461	0.89	78.97378277153558
5370096291	Корейский скраб для лица Baking Powder с содой Etude House, 24*7	7161	3	3	0	0	3164	18	2387	0.75	61.07920792079208
