Артикул WB,Артикул продавца,Название,Предмет,Бренд,Продаж_строк,Розничная_сумма_период,Логистика_период,Переплата_ИРП_период,Косметика,Переплата_ИРП_месяц,Доля_переплаты_в_логистике_%
214312837,THE SAEM Saemmul Perfect Curling Mascara [8ml],Тушь для ресниц Корея подкручивающая,Туши,THE SAEM,54,27842.0,2630.2999999999997,167.052,False,92.80666666666667,6.351062616431586
207796350,ELIZAVECCA - CER-100  [100ml],Маска для волос увлажняющая с коллагеном,Маски косметические,Elizavecca,29,27666.26,2179.81,165.99756,True,92.22086666666667,7.615230685243208
180711041,Petitfee EGF,Антивозрастные гидрогелевые патчи с золотом и EGF,Патчи,Petitfee,19,27207.35,1409.44,163.2441,True,90.69116666666667,11.582195765694177
611747838,Collagen_Enough_Moisture_Foundation_23,Увлажняющий тональный крем для лица тон 23,Тональные кремы,ENOUGH,27,27024.37,1929.69,162.14622,True,90.08123333333334,8.402708207017708
180852804,Скалер белый v1,Скалер для чистки и отбеливания зубов,Скалеры,FETLAR,15,26940.0,1778.3200000000002,161.64000000000001,False,89.80000000000001,9.089477709298665
207818642,LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,47,25959.08,2807.65,155.75448,True,86.53026666666668,5.547503428133849
551447345,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml],Отбеливающий крем для выравнивания тона и микрорельефа,Кремы,Celimax,10,25120.92,771.4,150.72552000000002,True,83.73640000000002,19.539217008037337
551616449,CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml],Увлажняющий набор уходовых средств для лица,Косметические наборы для ухода,Celimax,11,23968.0,1357.21,143.808,True,79.89333333333333,10.595854731397498
180852837,Триммер черный v1,Универсальный триммер для бороды и волос с насадками,Триммеры,Триммер для бороды,11,20137.44,1919.17,120.82464,False,67.12480000000001,6.295671566354205
551482493,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml],Сыворотка для лица отбеливающая,Сыворотки,Celimax,8,18568.0,518.03,111.408,True,61.89333333333334,21.506090380865974
208208674,Рация_UV-82 (1 шт),Электронная рация baofeng UV-82,Радиостанции,Baofeng,5,15978.0,644.05,95.868,False,53.26,14.885179722071268
236825103,JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea],Трехшаговый набор тканевых масок для лица 10 шт.,Маски тканевые косметические,JMSolution,10,14210.0,1220.46,85.25999999999999,True,47.36666666666667,6.985890565852218
551518955,CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml],Увлажняющий тонер для лица с экстрактом нони,Тоники,Celimax,5,11607.0,414.02,69.642,True,38.69,16.82092652528863
198620596,Lamp_white_26cm,Кольцевая лампа со штативом белая 26 см,Кольцевые лампы,SKL TECH,10,11400.0,4262.45,68.4,False,38.00000000000001,1.6047109056997737
190160008,Elizavecca Milky Piggy EGF elastic retinol [100ml],Крем для лица с ретинолом антивозрастной,Кремы,Elizavecca,6,11339.56,548.63,68.03736,True,37.79853333333334,12.401319650766455
663654300,videokamera4gneww,Камера видеонаблюдения уличная от сим карты 4G,Камеры видеонаблюдения,Камера видеонаблюдения IP Wi-Fi,3,10878.0,591.61,65.268,False,36.260000000000005,11.03226787917716
165008074,LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml],Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,23,10074.47,1580.64,60.44682,True,33.58156666666667,3.8241990586091705
214312149,SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml],Увлажняющая ночная маска для сухой кожи,Кремы,SKIN1004,7,9680.59,454.17,58.08354,True,32.268633333333334,12.78894246647731
206058262,ELIZAVECCA_galactomyces_Ample,Увлажняющая сыворотка для лица Корея,Сыворотки,Elizavecca,6,9540.0,377.74,57.24000000000001,True,31.800000000000008,15.153280033885745
551472457,CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml],Сыворотка для лица с экстрактом нони,Сыворотки,Celimax,5,9445.0,318.68,56.67,True,31.483333333333334,17.78272875611899
611717011,ENOUGH Collagen whitening cover tip concealer #01,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,11,9328.0,699.18,55.968,True,31.093333333333337,8.004805629451644
212720615,ISNTREE - Onion Newpair Gel Cream [50ml],Успокаивающий крем-гель для лица,Кремы,Isntree,3,8586.0,222.85000000000002,51.516000000000005,True,28.620000000000005,23.116894772268342
199425671,Dr.Jart_Teatreatment_Soothing_Spot,Корректор для лица от прыщей точечный,Сыворотки,dr.Jart+,4,8472.0,427.08,50.832,True,28.240000000000002,11.902219724641753
611744611,ENOUGH Collagen whitening cover tip concealer #02,"Консилер для лица плотный 02, корректор светлый",Корректоры,ENOUGH,8,7632.39,449.71,45.794340000000005,True,25.441300000000005,10.183082430899915
551490295,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml],Сыворотка для лица осветляющая,Сыворотки,Celimax,11,6996.0,680.84,41.976000000000006,True,23.320000000000004,6.1653251865342815
174668134,Пистолет перкуссионный V1,Перкуссионный массажер для тела от целлюлита,Массажеры электрические,Перкуссионный массажер пистолет,8,5775.0,1210.3,34.65,False,19.25,2.8629265471370733
104590122,dm7dm11,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,7,5684.23,2802.98,34.10538,False,18.947433333333333,1.216754311482779
214301052,DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml],Увлажняющий тонер для лица Корея с центеллой азиатской,Тоники,DEOPROCE,7,5306.0,550.53,31.836,True,17.686666666666667,5.782791128548853
154163936,Elizavecca Hell-Pore Control Hyaluronic Acid 97%,Сыворотка для лица увлажняющая с гиалуроновой кислотой,Сыворотки,Elizavecca,6,4775.0,301.05,28.650000000000002,True,15.916666666666668,9.51669157947185
340752919,PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch,Патчи для глаз Корея комплект,Патчи,Petitfee,10,4010.0,589.21,24.060000000000002,True,13.366666666666669,4.083433750275793
437203627,ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml,Гель для умывания лица увлажняющий Корея,Пенки,round lab,2,3607.0,207.69,21.642000000000003,True,12.023333333333335,10.420338003755598
103431810,dm7dm10,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,5,3429.9700000000003,1083.99,20.579819999999998,False,11.433233333333332,1.8985248941410897
555204573,dm7dm3-45,Дед Мороз под елку 45 см,Фигурки и статуэтки,Дед Мороз Фигурка,2,2915.0,1109.51,17.490000000000002,False,9.716666666666669,1.5763715514055758
611745490,ENOUGH Collagen whitening cover tip concealer #03,Консилер для лица плотный 03,Корректоры,ENOUGH,3,2862.0,165.2,17.172,True,9.540000000000001,10.394673123486683
226115478,PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с золотом и жемчугом,Маски гидрогелевые,Petitfee,2,2822.0,155.22,16.932,True,9.406666666666666,10.908388094317742
248928555,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g],Гель для душа против прыщей,Скрабы,Some by mi,1,2700.0,51.5,16.2,True,9.0,31.456310679611647
198143251,Manyo_Ampoule_Lotion,Лосьон для лица Bifida Biome Ampoule Lotion,Тоники,manyo,1,2101.0,72.21,12.606,True,7.003333333333334,17.457415870378064
