nm,Артикул продавца,Название,Предмет,Бренд,orders,local,nonlocal_orders,fbw_local,fbw_nonlocal,mp_local,mp_nonlocal,fbw_orders,local_pct_all,local_pct_fbw,krp_all,krp_fbw,weighted_krp_orders
180988755,Petitfee B-Glucan Deep Firming Eye Mask,Тканевые патчи для глаз и век увлажняющие,Патчи,Petitfee,35,28,7,28,7,0,0,35,80.0,80.0,0.0,0.0,0.0
180992464,PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal,Охлаждающие гидрогелевые патчи для области вокруг глаз,Патчи,Petitfee,31,19,12,19,12,0,0,31,61.29032258064516,61.29032258064516,0.0,0.0,0.0
190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Очищающая пенка для лица с настоящим золотом,Скрабы,Elizavecca,110,69,41,69,41,0,0,110,62.727272727272734,62.727272727272734,0.0,0.0,0.0
198147185,Manyo_Complex_Ampoule,Восстанавливающая сыворотка для лица с бифидобактериями,Сыворотки,manyo,187,153,34,153,34,0,0,187,81.81818181818183,81.81818181818183,0.0,0.0,0.0
198156472,Manyo_Galac_Vita_Serum,Отбеливающая сыворотка для лица с витамином С,Сыворотки,manyo,230,177,53,177,53,0,0,230,76.95652173913044,76.95652173913044,0.0,0.0,0.0
207465786,HEIMISH - All Clean Balm Mandarin [120ml],Гидрофильное масло бальзам для лица очищающее,Гидрофильные масла,Heimish,42,37,5,37,5,0,0,42,88.09523809523809,88.09523809523809,0.0,0.0,0.0
170198109,Enough Rich Gold Double Wea Radiance Foundation 21 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,144,97,47,97,47,0,0,144,67.36111111111111,67.36111111111111,0.0,0.0,0.0
207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Корейский шампунь против выпадения волос с черным чесноком,Шампуни,Farm Stay,924,710,214,710,214,0,0,924,76.83982683982684,76.83982683982684,0.0,0.0,0.0
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,410,279,131,279,131,0,0,410,68.04878048780488,68.04878048780488,0.0,0.0,0.0
212889028,Enoughcollagenwhiteningcovertip03,Консилер для лица плотный 03 корректор,Корректоры,ENOUGH,51,39,12,39,12,0,0,51,76.47058823529412,76.47058823529412,0.0,0.0,0.0
207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Корейская пенка для умывания лица увлажняющая,Скрабы,Farm Stay,45,27,18,27,18,0,0,45,60.0,60.0,0.0,0.0,0.0
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,414,268,146,268,146,0,0,414,64.73429951690821,64.73429951690821,0.0,0.0,0.0
207482718,JIGOTT - Snail Lifting Cream [70ml],Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,865,580,285,580,285,0,0,865,67.05202312138728,67.05202312138728,0.0,0.0,0.0
207483179,JIGOTT - Snail Reparing Cream [100ml],Восстанавливающий крем для лица антивозрастной,Кремы,Jigott,245,153,92,153,92,0,0,245,62.44897959183674,62.44897959183674,0.0,0.0,0.0
207483780,JIGOTT - Birds Nest Firming Cream [70ml],Корейский крем для лица антивозрастной от морщин,Кремы,Jigott,128,81,47,81,47,0,0,128,63.28125,63.28125,0.0,0.0,0.0
150925321,Collagen_Enough_Moisture_Foundation_13,Тональный крем для лица коллаген №13,Тональные кремы,ENOUGH,102,65,37,65,37,0,0,102,63.725490196078425,63.725490196078425,0.0,0.0,0.0
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,1635,1047,588,1047,588,0,0,1635,64.03669724770641,64.03669724770641,0.0,0.0,0.0
154160085,Etude Baking Powder Crunch Pore Scrub треугольники 30,Корейский скраб для лица Baking Powder с содой,Скрабы,Etude house,50,36,14,36,14,0,0,50,72.0,72.0,0.0,0.0,0.0
207818642,LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,22,15,7,15,7,0,0,22,68.18181818181817,68.18181818181817,0.0,0.0,0.0
212757456,JIGOTT - Daily Real Cica Toner [300ml],Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,126,85,41,85,41,0,0,126,67.46031746031747,67.46031746031747,0.0,0.0,0.0
212760119,JIGOTT - Ultimate Real Collagen Toner [300ml],Корейский тонер для лица антивозрастной,Тоники,Jigott,105,71,34,71,34,0,0,105,67.61904761904762,67.61904761904762,0.0,0.0,0.0
212883090,JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml],Увлажняюший тонер для лица с гиалуроновой кислотой,Тоники,Jigott,44,27,17,27,17,0,0,44,61.36363636363637,61.36363636363637,0.0,0.0,0.0
212889025,Enoughcollagenwhiteningcovertip01,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,125,77,48,77,48,0,0,125,61.6,61.6,0.0,0.0,0.0
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,95,65,30,65,30,0,0,95,68.42105263157895,68.42105263157895,0.0,0.0,0.0
207796439,ELIZAVECCA - Natural 90% Olive Cleansing Oil,Корейское гидрофильное масло для умывания,Гидрофильные масла,Elizavecca,128,96,32,96,32,0,0,128,75.0,75.0,0.0,0.0,0.0
