Артикул WB,Артикул продавца,Название,Предмет,Бренд,Регион,"Итого заказов, шт","Итого заказов по товарам локально, шт","Итого заказов по товарам не локально, шт",Локальность_региона_%,"Остатки склад ВБ, шт",Целевой_остаток_30дней_с_буфером,Рекомендовано_поставить_шт,Первая_волна_14дней_шт,Прибыль_на_шт_до_рекламы,Прибыль_если_рекомендованный_объем_продастся,Потенциал_прибыли_от_возврата_спроса,Потенциал_экономии_ИРП_мес,Потенциал_прибыли_SKU_по_упущенным_выкупам,Упущенные_выкупы_SKU_очищено,Упущенные_выкупы_руб_SKU_очищено,Переплата_ИРП_SKU_мес,Время доставки
207479264,EKEL Ampoule Cream Collagen [50ml],Ампульный крем для лица с коллагеном,Кремы,EKEL,Северо-Западный,11,0,11,0.0,0,13.0,13.0,7.0,296.70775000000003,3857.2007500000004,0.0,66.07375641025641,0.0,0.0,0.0,468.523,2д 7ч
198156698,Manyo_Pure_Cleansing_Oil,Гидрофильное масло Ma:nyo Pure Cleansing Oil для умывания,Гидрофильные масла,manyo,Северо-Западный,11,0,11,0.0,0,13.0,13.0,7.0,1168.6203904494382,15192.065075842696,0.0,338.4008978835979,0.0,0.0,0.0,1938.1142333333337,2д 11ч
170198180,Enough Rich Gold Double Wea Radiance Foundation 13 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,Уральский,11,0,11,0.0,0,13.0,13.0,7.0,267.357252631579,3475.644284210527,0.0,111.70188022598872,0.0,0.0,0.0,599.1282666666667,2д 9ч
190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Очищающая пенка для лица с настоящим золотом,Скрабы,Elizavecca,Уральский,11,0,11,0.0,0,13.0,13.0,7.0,321.8532823529411,4184.092670588235,0.0,159.3789910569106,0.0,0.0,0.0,594.0489666666667,2д 6ч
226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,Беларусь,11,0,11,0.0,0,13.0,13.0,7.0,341.24664171123004,4436.2063422459905,0.0,239.47227333333336,0.0,0.0,0.0,870.8082666666667,1д 18ч
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,Армения,12,2,10,16.666666666666664,0,14.0,14.0,7.0,195.04518119787718,2730.6325367702807,784.4485450929672,92.33559059693609,79229.30305438969,406.21,269315.31,5826.375766666667,4д 4ч
214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,Северо-Западный,12,2,10,16.666666666666664,0,14.0,14.0,7.0,749.8959690666666,10498.543566933331,384.8037601267809,269.2859455782313,3367.032901109333,4.49,11456.08,1319.5011333333332,1д 16ч
226115324,PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],Корейские гидрогелевые маски для лица охлаждающие с агавой,Маски гидрогелевые,Petitfee,Уральский,11,1,10,9.090909090909092,0,13.0,13.0,7.0,397.60044381889725,5168.805769645664,0.0,194.12678694158078,0.0,0.0,0.0,1883.0298333333335,2д 3ч
154160085,Etude Baking Powder Crunch Pore Scrub треугольники 30,Корейский скраб для лица Baking Powder с содой,Скрабы,Etude house,Дальневосточный и Сибирский,11,1,10,9.090909090909092,0,13.0,13.0,7.0,412.1751020825459,5358.276327073097,0.0,384.9374761904762,0.0,0.0,0.0,538.9124666666667,4д 21ч
151132051, ENOUGH COLLAGEN 3IN1 13,Отбеливающий тональный крем для лица 3в1 тон 13,Тональные кремы,ENOUGH,Приволжский,10,0,10,0.0,0,12.0,12.0,6.0,320.64378151260496,3847.7253781512595,0.0,100.73135087719298,0.0,0.0,0.0,382.77913333333333,1д 22ч
