Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
206058262,ELIZAVECCA_galactomyces_Ample,Увлажняющая сыворотка для лица Корея,Сыворотки,Elizavecca,132,209827,5,2,0.0,0.0
170198876,Enough Collagen Foundation Cover Up Ultra X10 21 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,217,204711,96,72,0.0,0.0
170198109,Enough Rich Gold Double Wea Radiance Foundation 21 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,209,202559,144,103,0.0,0.0
212719009,DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml],Корректирующий СС крем для лица тональный,CC-кремы,dr.Jart+,51,198614,18,14,0.0,0.0
212760119,JIGOTT - Ultimate Real Collagen Toner [300ml],Корейский тонер для лица антивозрастной,Тоники,Jigott,201,197753,104,84,0.0,0.0
238416010,Enough Collagen Whitening Moisture Cream 3in1 50 N,Корейский крем для лица отбеливающий 3в1 коллаген,Кремы,ENOUGH,283,185644,145,117,0.0,0.0
207475898,FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml],Корейский шампунь для волос с коллагеном,Шампуни,Farm Stay,156,183550,308,262,0.0,0.0
190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Очищающая пенка для лица с настоящим золотом,Скрабы,Elizavecca,180,182596,110,86,0.0,0.0
208202076,EKEL Ampule Сream Сollagen [70ml],Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,266,179914,82,62,0.0,0.0
212757456,JIGOTT - Daily Real Cica Toner [300ml],Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,173,170178,124,95,0.0,0.0
207483179,JIGOTT - Snail Reparing Cream [100ml],Восстанавливающий крем для лица антивозрастной,Кремы,Jigott,224,160581,244,207,0.0,0.0
169198316,Etude House Baking Powder Pore Cleansing Foam 160 ml белая,Пенка для умывания от черных точек Baking Powder 160ml,Скрабы,Etude house,154,158096,175,129,0.0,0.0
180852804,Скалер белый v1,Скалер для чистки и отбеливания зубов,Скалеры,FETLAR,89,157620,14,11,0.0,0.0
207796789,ENOUGH - Gold Snail Moisture Foundation [Tone 13],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,156,151386,360,269,0.0,0.0
179611318,Petitfee Chamomile Lightening Hydrogel Eye Mask,Гидрогелевые патчи для глаз от отеков и морщин,Патчи,Petitfee,107,148299,46,39,0.0,0.0
154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,237,148140,48,35,0.0,0.0
180988755,Petitfee B-Glucan Deep Firming Eye Mask,Тканевые патчи для глаз и век увлажняющие,Патчи,Petitfee,100,147945,35,27,0.0,0.0
551518955,CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml],Увлажняющий тонер для лица с экстрактом нони,Тоники,Celimax,65,146860,4,2,0.0,0.0
154160085,Etude Baking Powder Crunch Pore Scrub треугольники 30,Корейский скраб для лица Baking Powder с содой,Скрабы,Etude house,101,145126,50,35,0.0,0.0
207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Корейская пенка для умывания лица увлажняющая,Скрабы,Farm Stay,199,143845,45,36,0.0,0.0
198156698,Manyo_Pure_Cleansing_Oil,Гидрофильное масло Ma:nyo Pure Cleansing Oil для умывания,Гидрофильные масла,manyo,43,139664,101,76,0.0,0.0
179611278,Petitfee Artichoke Soothing Hydrogel Eye Mask,Патчи под глаза гидрогелевые с артишоком,Патчи,Petitfee,110,137042,36,26,0.0,0.0
212883090,JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml],Увлажняюший тонер для лица с гиалуроновой кислотой,Тоники,Jigott,138,136799,44,37,0.0,0.0
190160008,Elizavecca Milky Piggy EGF elastic retinol [100ml],Крем для лица с ретинолом антивозрастной,Кремы,Elizavecca,71,134959,3,1,0.0,0.0
151175877,Petitfee Agave Cooling Hydrogel Eye Mask,Гидрогелевые патчи от отеков и мешков под глазами,Патчи,Petitfee,109,134027,117,85,0.0,0.0
207483780,JIGOTT - Birds Nest Firming Cream [70ml],Корейский крем для лица антивозрастной от морщин,Кремы,Jigott,169,129878,128,108,0.0,0.0
248929125,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g],Крем для лица от прыщей для проблемной кожи,Кремы,Some by mi,45,129117,8,6,0.0,0.0
170198738,Enough 8 Peptide Full Cover Perfect Foundation 13 тон,Корейский тональный крем с пептидами 13 тон,Тональные кремы,ENOUGH,108,127316,110,84,0.0,0.0
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,100,127200,409,324,0.0,0.0
206126372,I'm Sorry for My Skin Крем Age Capture Vitalizer,Крем для лица с витамином C осветляющий,Кремы,I'm Sorry for My Skin,80,124232,69,51,0.0,0.0
151175880,Petitfee Black Pearl & Gold hydrogel Eye Patch,Патчи для глаз Корея антивозрастные жемчуг и золото,Патчи,Petitfee,98,111606,135,109,0.0,0.0
212720615,ISNTREE - Onion Newpair Gel Cream [50ml],Успокаивающий крем-гель для лица,Кремы,Isntree,40,110664,4,2,0.0,0.0
608624295,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком,Шампунь для волос женский c черным,Шампуни,DEOPROCE,98,108968,29,22,0.0,0.0
