Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Красота,170198835,Enough Collagen Foundation Cover Up Ultra X10 13 тон,Тональные кремы,ENOUGH,505.3195,128,3328,0.4,8,261.3721551724138
Красота,437845041,ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,Кремы,round lab,503.9455,349,3210,0.425,6,260.66146551724137
Красота,183030830,HairSet/350/8*2,Маски косметические,MASIL,483.419904,283,1478,2.112,4,250.04477793103445
Красота,212889025,Enoughcollagenwhiteningcovertip01,Корректоры,ENOUGH,469.05400000000003,308,3101,0.036,9,242.6141379310345
Красота,212753217,JIGOTT - Collagen Healing Cream [100ml],Кремы,Jigott,456.916,263,2961,0.648,6,236.3358620689655
Красота,226114935,PETITFEE - Gold Hydrogel Mask Pack [5pcs],Маски гидрогелевые,Petitfee,441.16,197,3045,0.855,9,228.18620689655174
Красота,210579932,LEBELAGE - Dr. Snail Derma Eye Cream [40ml],Кремы,Lebelage,439.672,270,2977,0.296296,5,227.41655172413792
Красота,868700077,MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml],Сыворотки,manyo,432.704,321,2823,0.42,11,223.81241379310347
Красота,868761530,LANEIGE LIP SLEEPING MASK-BERRY [3g],Бальзамы,LANEIGE,428.924,203,2796,0.413478,8,221.85724137931032
Красота,180711104,Petitfee GOLD,Патчи,Petitfee,420.30400000000003,209,2506,0.405,5,217.3986206896552
Красота,207818642,LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml],Кремы,Lebelage,415.58,277,2807,0.295926,7,214.9551724137931
Красота,247275092,THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml],Тоники,The ordinary,384.8195,425,2528,0.294,7,199.04456896551727
Красота,248928046,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g],Мыло косметическое,Some by mi,364.336,249,2567,0.557232,5,188.4496551724138
Красота,340752919,PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch,Патчи,Petitfee,359.858,313,2298,0.221,6,186.13344827586207
Красота,210575566,LEBELAGE - Dr. Peptide Derma Eye Cream [40ml],Кремы,Lebelage,351.044,228,2226,0.272,7,181.5744827586207
Красота,214312385,THE ORDINARY - Argireline Solution 10% [30ml],Сыворотки,The ordinary,346.044,269,2164,0.26,8,178.98827586206897
Красота,212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Тоники,Jigott,323.694,93,1963,0.9309999999999999,9,167.42793103448275
Красота,180992464,PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal,Патчи,Petitfee,302.2635,444,2305,0.605,7,156.34318965517244
Красота,206135397,I'm Sorry For My Skin Age Capture Hydrating,Кремы,I'm Sorry for My Skin,295.072,117,1842,0.294,6,152.62344827586207
Красота,214311963,SKIN1004 - Madagascar Centella Ampoule [30ml],Сыворотки,SKIN1004,278.9725,440,1832,0.176,9,144.2961206896552
Красота,180987509,Petitfee Pink Vita Brightening Eye Mask,Патчи,Petitfee,275.658,373,1942,0.817684,7,142.58172413793102
Красота,207818000,ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml],Сыворотки,,267.9325,359,1974,0.063,9,138.58577586206897
Красота,551616449,CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml],Косметические наборы для ухода,Celimax,260.408224,75,1363,1.216,3,134.69390896551727
Красота,212720615,ISNTREE - Onion Newpair Gel Cream [50ml],Кремы,Isntree,252.4305,58,2487,0.31999999999999995,1,130.5675
Красота,207464799,HEIMISH - All Clean Balm [120ml],Гидрофильные масла,Heimish,216.6005,48,1376,0.695296,8,112.03474137931035
Красота,214305705,DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml],Шампуни,DEOPROCE,211.70055,52,459,3.1000000000000005,6,109.50028448275862
Красота,611745490,ENOUGH Collagen whitening cover tip concealer #03,Корректоры,ENOUGH,180.592,161,1393,0.46799999999999997,3,93.40965517241379
Красота,611744611,ENOUGH Collagen whitening cover tip concealer #02,Корректоры,ENOUGH,141.892,181,1091,0.46799999999999997,5,73.39241379310346
Красота,551540924,CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads],Пэды косметические,Celimax,88.348,94,594,0.567,9,45.69724137931035
Декор интерьера,555213580,dm7dm5-50,Фигурки и статуэтки,Дед Мороз Фигурка,73.36647359999999,29,29,15.81174,1,37.948176
Красота,207817787,ISNTREE - Chestnut AHA 8% Clear Essence [100ml],Сыворотки,,64.1865,75,623,0.35,2,33.19991379310345
Техника для красоты и здоровья,315688951,Триммер Золото,Триммеры,Триммер для бороды,61.2192,139,308,1.2,5,31.66510344827586
