nm,Артикул продавца,Название_sku,Предмет_sku,Бренд_sku,recommended_supply_qty,first_wave_14d_qty,regions,nonlocal_orders,current_wb_stock_regions,allocated_lost_profit,profit_if_recommended_qty_sells,allocated_irp_saving_month,profit_per_unit,missed_profit_sku,missed_buyouts_sku,missed_buyouts_amount_sku,irp_saving_sku_month
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,269.0,127.0,"Дальневосточный и Сибирский, Беларусь, Казахстан, Армения",227,0,15100.634493039619,52467.15374222897,2096.017906550449,195.04518119787718,79229.30305438969,406.21,269315.31,5826.375766666667
207796789,ENOUGH - Gold Snail Moisture Foundation [Tone 13],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,223.0,105.0,"Дальневосточный и Сибирский, Приволжский, Уральский, Беларусь",126,0,0.0,69754.0941252588,1332.96408,312.7986283643892,0.0,0.0,0.0,1586.862
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,211.0,102.0,"Дальневосточный и Сибирский, Северо-Западный, Приволжский, Уральский, Беларусь",128,24,0.0,65228.13781467287,3007.0138463104327,309.1380939084022,0.0,0.0,0.0,3077.4907333333335
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,210.0,100.0,"Дальневосточный и Сибирский, Приволжский, Северо-Западный, Уральский",128,0,6068.761803730104,65619.2512021858,3445.569373515982,312.47262477231334,13958.152148579238,44.67,46306.57,3930.102566666667
151313163,Etude Baking Powder Crunch Pore Scrub,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,202.0,96.0,"Дальневосточный и Сибирский, Северо-Западный, Приволжский",179,136,0.0,77484.18758911565,5630.648017340067,383.58508707482997,0.0,0.0,0.0,6228.314566666667
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,191.0,91.0,"Дальневосточный и Сибирский, Северо-Западный, Приволжский, Беларусь",152,93,0.0,132005.6397346154,4667.141372549019,691.1290038461539,0.0,0.0,0.0,5219.829166666666
207475898,FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml],Корейский шампунь для волос с коллагеном,Шампуни,Farm Stay,166.0,80.0,"Центральный, Дальневосточный и Сибирский, Приволжский, Уральский",92,83,0.0,45638.706956282826,1566.9867719298245,274.9319696161616,0.0,0.0,0.0,1941.701
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,138.0,66.0,"Центральный, Дальневосточный и Сибирский, Приволжский, Северо-Западный",99,0,4497.45770778277,32473.951038759693,931.5638975409836,235.31848578811372,6765.40646640827,28.75,24748.18,1147.9878333333334
207479264,EKEL Ampoule Cream Collagen [50ml],Ампульный крем для лица с коллагеном,Кремы,EKEL,129.0,63.0,"Центральный, Южный и Северо-Кавказский, Приволжский, Дальневосточный и Сибирский, Северо-Западный",77,0,0.0,38275.299750000006,462.5162948717949,296.70775000000003,0.0,0.0,0.0,468.523
207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,114.0,56.0,"Центральный, Приволжский, Дальневосточный и Сибирский, Уральский, Северо-Западный",103,52,0.0,27544.044927038623,693.0425317307693,241.61442918454935,0.0,0.0,0.0,699.7711
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,111.0,54.0,"Центральный, Приволжский, Северо-Западный, Дальневосточный и Сибирский",59,0,0.0,25650.647066147852,795.6680723004696,231.08691050583653,0.0,0.0,0.0,957.4988666666668
