JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
61;;제이멜라 인 프랑스 퓨어 레이지 바이브 헤어 트리트먼트 500ml;JMELLA IN FRANCE LAZY VIBES HAIR TREATMENT;8809852542773 ;500ml;20; ₩8 900 ; ₩2 970 
62;;제이멜라 인 프랑스 퓨어 레이지 바이브 바디 워시 500ml;JMELLA IN FRANCE PURE LAZY VIBES BODY WASH;8809852543046 ;500ml;20; ₩7 900 ; ₩2 750 
63;;제이멜라 인 프랑스 퓨어 레이지 바이브 바디 로션 500ml;JMELLA IN FRANCE PURE LAZY VIBES BODY LOTION;8809852543091 ;500ml;20; ₩8 900 ; ₩2 970 
64;;제이멜라 인 프랑스 퓨어 레이지 바이브 헤어 샴푸 1,000ml;JMELLA IN FRANCE PURE LAZY VIBES HAIR SHAMPOO;8809852543978 ;1000ml;12; ₩11 800 ; ₩4 510 
65;;제이멜라 인 프랑스 퓨어 레이지 바이브 바디 워시 1,000ml;JMELLA IN FRANCE PURE LAZY VIBES BODY WASH;8809852544029 ;1000ml;12; ₩11 800 ; ₩4 510 
66;;제이멜라 인 프랑스 퓨어 다크 오키드 헤어 샴푸 500ml;JMELLA IN FRANCE PURE DARK ORCHID HAIR SHAMPOO;8809852542780 ;500ml;20; ₩7 900 ; ₩2 750 
67;;제이멜라 인 프랑스 퓨어 다크 오키드 헤어 트리트먼트 500ml;JMELLA IN FRANCE PURE DARK ORCHID HAIR TREATMENT;8809852542797 ;500ml;20; ₩8 900 ; ₩2 970 
68;;제이멜라 인 프랑스 퓨어 다크 오키드 바디 워시 500ml;JMELLA IN FRANCE PURE DARK ORCHID BODY WASH;8809852543053 ;500ml;20; ₩7 900 ; ₩2 750 
69;;제이멜라 인 프랑스 퓨어 다크 오키드 바디 로션 500ml;JMELLA IN FRANCE PURE DARK ORCHID BODY LOTION;8809852543107 ;500ml;20; ₩8 900 ; ₩2 970 
70;;제이멜라 인 프랑스 퓨어 다크 오키드 헤어 샴푸 1,000ml;JMELLA IN FRANCE PURE DARK ORCHID HAIR SHAMPOO;8809852543985 ;1000ml;12; ₩11 800 ; ₩4 510 
71;;제이멜라 인 프랑스 퓨어 다크 오키드 바디 워시 1,000ml;JMELLA IN FRANCE PURE DARK ORCHID BODY WASH;8809852544036 ;1000ml;12; ₩11 800 ; ₩4 510 
