FARMSTAY;;;;;;;;
NO;IMAGE;BARCODE;NAME (KOR);NAME (ENG);VOL;1 BOX; RETAIL PRICE ;SUPPLY PRICE
122;;8809460461169 ;팜스테이 화이트 펄 하이드로겔 아이패치;FARMSTAY WHITE PEARL HYDROGEL EYE PATCH;90g;100; ₩25 000 ; ₩6 369 
123;;8809469777223 ;팜스테이 콜라겐 워터 풀 모이스트 트리트먼트 헤어 필러;FARMSTAY COLLAGEN WATER FULL MOIST TREATMENT HAIR FILLER;13ml*10;40; ₩25 000 ; ₩7 238 
124;;8809426957972 ;팜스테이 모이스쳐 수딩젤 알로에베라(파우치);FARMSTAY MOISTURE SOOTHING GEL ALOEVERA (POUCH);100ml;120; ₩3 500 ; ₩880 
125;;8809480772504 ;팜스테이 콜라겐 워터 풀 모이스트 롤링 아이세럼;FARMSTAY COLLAGEN WATER FULL MOIST ROLLING EYE SERUM;25ml;100; ₩20 000 ; ₩3 432 
126;;8809035146750 ;팜스테이 리얼 콜라겐 에센셜 립밤;FARMSTAY COLLAGEN ESSENTIAL LIP BALM;10ml;300; ₩5 000 ; ₩1 936 
127;;8809035144268 ;팜스테이 리얼 알로에베라 에센셜 립밤;FARMSTAY ALOE VERA ESSENTIAL LIP BALM;10ml;300; ₩5 000 ; ₩1 936 
128;;8809632883201 ;팜스테이 리얼 코코넛 에센셜 립밤;FARMSTAY REAL COCONUT ESSENTIAL LIP BALM;10ml;300; ₩5 000 ; ₩1 936 
129;;;팜스테이 히아루로닉 아쿠아 선 크림;FARMSTAY HYALURONIC AQUA SUN BLOCK CREAM;70g;; ₩15 000 ;#Н/Д
130;;;팜스테이 히아루로닉 UV 실드 선 블록 크림;FARMSTAY HYALURONIC UV SHIELD SUN BLOCK CREAM;50g;; ₩15 000 ;#Н/Д
131;;8809480772559 ;팜스테이 히아루로닉5 워터 드롭 크림;FARMSTAY HYALURONIC5 WATER DROP CREAM;80ml;50; ₩30 000 ; ₩5 225 
132;;8809469777438 ;팜스테이 히아루론산100 앰플;FARMSTAY HYALURONIC ACID 100 AMPOULE;100ml;100; ₩35 000 ; ₩5 951 
133;;8809469777100 ;팜스테이 연어 오일&펩타이드 바이탈 크림;FARMSTAY SALMON OIL & PEPTIDE VITAL CREAM;50g;50; ₩30 000 ; ₩5 797 
134;;8809469777308 ;팜스테이 화이트 펄 인텐시브 뉴트리션 크림;FARMSTAY WHITE PEARL INTENSIVE NUTRITION CREAM;50g;50; ₩30 000 ; ₩5 797 
135;;8809480772535 ;팜스테이 그린티씨드 모이스쳐 크림;FARMSTAY GREEN TEA SEED MOISTURE CREAM;100g;100; ₩35 000 ; ₩5 698 
136;;8809480772580 ;팜스테이 히아루론산 멀티 아쿠아 울트라 토너;FARMSTAY HYALURONIC ACID MULTI AQUA ULTRA TONER;500ml;25; ₩20 000 ; ₩5 434 
137;;8809480772597 ;팜스테이 콜라겐 워터 풀 모이스트 올데이 토너;FARMSTAY COLLAGEN WATER FULL MOIST ALL DAY TONER;500ml;25; ₩20 000 ; ₩5 434 
138;;8809480772733 ;팜스테이 블랙 스네일 프리미엄 롤링 아이세럼;FARMSTAY BLACK SNAIL PREMIUM ROLLING EYE SERUM;25ml;100; ₩20 000 ; ₩3 432 
139;;8809034583617 ;팜스테이 흑마늘 너리싱 샴푸;FARMSTAY BLACK GARLIC NOURISHING SHAMPOO;530ml;20; ₩15 000 ; ₩4 543 
140;;8809480772665 ;팜스테이 세라마이드 퍼밍 페이셜 토너;FARMSTAY CERAMIDE FIRMING FACIAL TONER;130ml;54; ₩25 000 ; ₩4 466 
141;;8809480772672 ;팜스테이 세라마이드 퍼밍 페이셜 에멀젼;FARMSTAY CERAMIDE FIRMING FACIAL EMULSION;130ml;54; ₩25 000 ; ₩4 466 
142;;8809480772658 ;팜스테이 세라마이드 퍼밍 페이셜 크림;FARMSTAY CERAMIDE FIRMING FACIAL CREAM;50ml;50; ₩25 000 ; ₩4 466 
143;;8809480772696 ;팜스테이 세라마이드 퍼밍 페이셜 아이크림;FARMSTAY CERAMIDE FIRMING FACIAL EYE CREAM;50ml;50; ₩25 000 ; ₩4 466 
144;;8809480772689 ;팜스테이 세라마이드 퍼밍 페이셜 에센스;FARMSTAY CERAMIDE FIRMING FACIAL ESSENCE;50ml;100; ₩25 000 ; ₩4 422 
145;;8809480772764 ;팜스테이 세라마이드 퍼밍 페이셜 앰플;FARMSTAY CERAMIDE FIRMING FACIAL AMPOULE;50ml;100; ₩30 000 ; ₩4 422 
146;;8809426958696 ;팜스테이 히아루론산 멀티 아쿠아 수딩젤;FARMSTAY HYALURONIC ACID MULTI AQUA SOOTHING GEL;200ml;50; ₩5 900 ; ₩1 639 
147;;8809480772856 ;팜스테이 세라마이드 모이스쳐 클렌징폼;FARMSTAY CERAMIDE MOISTURE CLEANSING FOAM;180ml;100; ₩18 000 ; ₩3 267 
148;;8809551952040 ;팜스테이 볼륨 & 컬링 마스카라;FARMSTAY VOLUME & CURLING MASCARA;12g;100; ₩20 000 ; ₩2 838 
149;;8809809800185 ;팜스테이 아보카도 프리미엄 포어 토너;FARMSTAY AVOCADO PREMIUM PORE TONER;350ml;40; ₩10 000 ; ₩3 113 
