Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад электрики	Насосное и механическое	Насосы	ЗИП	Траловая лебедка	Крылатка на насос забортной воды		3	3			не указано	комплект			0
ЗИП и насосы	Корпусная часть	Крышки и люки		6 NVD26 А3	Крышка 6 NVD26 А3		3	3			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фреоновый		Клапан фреоновый саленоидный		2	2		0	новый	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный Ду20Ру100 (в ящике под полкой)		Стакан переборочный Ду25Ру100	554-35.156	2	2		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду32 Ру16	595-01-010	2	2		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду50		2	2		0	новый	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая запорная Ду50 Ру6	526-03.107	2	2		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая невозврат.Ду80 Ру6	526-03.097	2	2		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Ротта цапковая Ду65Ру10	557-3М115	2	2		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Головки, грибки, компенсаторы	Компенсатор		Компенсатор Ду 200 Ру2,5	551-03.185-01	2	2		0	не указано	комплект			0
Склад 3	Прочее	Такелаж и корпусное	ЭЛЕКТРИКА		Вентилятор РСС-10/10	2	2	2		0	не указано	комплект			0
Склад 3	Прочее	Такелаж и корпусное	ЭЛЕКТРИКА		Вентилятор ЦСУ-14	2	2	2		0	не указано	комплект			0
