Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца цапковая Ду50Ру16	ВН557-78	5	5		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Ротта муфтовая Ду65Ру10	557-3М123	11	11		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Богданова муфтовая Ду65Ру10	557-35.997-01	7	7		0	новый	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Богданова рукавная Ду65Ру10		11	11		0	новый	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Ротта цапковая Ду65Ру10	557-3М115	2	2		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца муфтовая Ду80Ру10		7	7		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца рукавная Ду80Ру10	ВН557-92	1	1		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайки алюминевые б/у		27	27		0	б/у	комплект			0
Склад 3	Трубопроводная обвязка	Головки, грибки, компенсаторы	Компенсатор		Компенсатор Ду 200 Ру2,5	551-03.185-01	2	2		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Головки, грибки, компенсаторы	Компенсатор		Компенсатор Ду 150		3	3		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	Насосы		Насос ЭВН 5/5		1	1	184668	184668	не указано	комплект			184668
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 120*280	546-03.074-01	4	4		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 190*390	546-03.076	1	1		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 240*420	546-03.092	1	1		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 290*460	546-03.094	6	6		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 290*730	546-03.096	4	4		0	не указано	комплект			0
Склад 3	Арматура	Клинкеты и задвижки	Задвижки		Задвижки (желтая) ок. крышек	544-03.046	13	13		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 0,6А	2	2	2	4004	8008	не указано	комплект			8008
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 0,8А	1	1	1	4312	4312	не указано	комплект			4312
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 10А	25	25	25	4004	100100	не указано	комплект			100100
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 5А	9	9	9	4004	36036	не указано	комплект			36036
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 2,5А	1	1	1	4004	4004	не указано	комплект			4004
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 3,2А	8	8	8	4004	32032	не указано	комплект			32032
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 2А	2	2	2	4004	8008	не указано	комплект			8008
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 8А	3	3	3	4004	12012	не указано	комплект			12012
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 16А	8	8	8	4004	32032	не указано	комплект			32032
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 6А	9	9	9	4004	36036	не указано	комплект			36036
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 20А	4	4	4	4004	16016	не указано	комплект			16016
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 25А	6	6	6	4004	24024	не указано	комплект			24024
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. АК 25 2МГ 12,5А	5	5	5	4004	20020	не указано	комплект			20020
