Бренд	Артикул WB	Наименование	Себестоимость	Коледино	Краснодар	Казань	Шушары	Екатеринбург	Итого
PETITFEE	151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	440.39	100	30	30	20	20	200
PETITFEE	179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	440.39	90	25	35	30	20	200
PETITFEE	180711104	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	440.39	95	20	25	20	20	180
PETITFEE	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	485.22	85	30	25	20	20	180
PETITFEE	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаивающая гидрогелевая маска для лица с экстрактом ромашки	508.03	85	30	20	25	20	180
PETITFEE	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	508.03	95	30	30	25	20	200
PETITFEE	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	537.59	90	30	20	20	20	180
PETITFEE	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	508.03	60	25	25	20	20	150
PETITFEE	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	508.03	50	35	25	20	20	150
PETITFEE	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	485.22	80	25	30	25	20	180
ROUND LAB	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	490.98	65	55	40	20	20	200
ROUND LAB	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	1 158,54	55	30	25	20	20	150
ROUND LAB	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	543.06	65	60	30	25	20	200
ROUND LAB	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml - Крем для лица с чёрной соей и пантенолом успокаивающий	1 231,09	65	40	25	30	20	180
ROUND LAB	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml - Сыворотка для жирной кожи лица увлажняющая с центеллой	868.9	45	45	20	20	20	150
CELIMAX	868516027	Celimax Dual Barrier Creamy Toner, тонер 150 мл		70	60	30	20	20	200
CELIMAX	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица		60	30	20	20	20	150
CELIMAX	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица		70	55	30	25	20	200
CELIMAX	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]/Крем для выравнивания тона и рельефа кожи лица		50	35	25	20	20	150
CELIMAX	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]/Крем для восстановления защитного барьера кожи лица		50	35	25	20	20	150
